id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
6a5b2b22b36f59028c6fcc2644c34c20,czestochowa,blockOfFlats,56.0,2.0,2.0,4.0,,50.823,19.0906,2.96,3.0,0.788,2.074,0.488,0.384,0.548,1.712,0.602,condominium,,,no,yes,no,no,no,2000
b36c891c2804965e809e25b5d46a62b4,warszawa,tenement,47.0,2.0,,3.0,1936.0,52.20432,21.01227,3.1,27.0,0.196,0.199,0.136,0.137,0.151,0.458,0.205,condominium,brick,,no,no,no,yes,yes,4500
2234443bebce67779ea5c0f44363dbed,warszawa,apartmentBuilding,95.2,3.0,3.0,4.0,2008.0,52.16216455,21.07543892,9.15,31.0,0.666,1.516,0.359,0.435,0.144,2.015,0.129,condominium,brick,premium,yes,yes,yes,no,no,9000
b94c105831f4af9720980f81f6f2be04,warszawa,tenement,56.0,2.0,,3.0,1950.0,52.2016251,21.0303179,3.81,22.0,0.174,0.261,0.152,0.117,0.115,1.232,0.278,condominium,brick,premium,no,no,no,no,no,4950
5044ac05d866527a7c77803ee6e83f8a,bydgoszcz,,40.33,2.0,,6.0,2017.0,53.0960166,18.0250245,3.31,0.0,0.9,2.097,0.991,1.118,0.984,0.618,0.784,condominium,brick,,no,no,no,no,no,2100
7f9eeb83dd305f8f4646bb059c2e9af8,warszawa,blockOfFlats,37.0,2.0,4.0,4.0,1978.0,52.1925,20.9719,4.86,7.0,0.4,0.836,0.225,0.138,0.596,2.144,0.654,condominium,,,yes,yes,no,no,no,3000
ee785aaf29bc30cee0ad02be1b7d3199,krakow,blockOfFlats,39.36,2.0,4.0,9.0,2018.0,50.0834,20.0066,5.78,23.0,0.011,1.412,0.205,0.177,0.327,1.08,0.247,condominium,,,yes,yes,yes,no,yes,2800
01ec95c5fe1a1e772bba0214a05c885a,gdansk,apartmentBuilding,41.0,2.0,,4.0,2017.0,54.351,18.662939,0.58,65.0,0.531,1.081,0.419,0.445,0.191,0.917,0.374,condominium,brick,premium,yes,yes,yes,no,yes,3000
0dae9ee6f91fc8d7490cd5d8f42c38ab,krakow,,43.68,2.0,1.0,3.0,1986.0,50.0496,19.92656,1.06,22.0,0.116,0.685,0.19,0.208,0.042,0.873,0.191,condominium,,,no,no,no,no,no,2500
5b3e4a95f38188aac61d940d6bb56976,bydgoszcz,apartmentBuilding,25.0,1.0,,5.0,2022.0,53.1378,18.0069,1.8,7.0,0.251,0.315,0.534,0.105,0.177,0.677,0.594,condominium,brick,,yes,yes,yes,no,no,1750
0028880c7cfa6e3a9ce823cb871031ef,gdynia,,64.4,3.0,1.0,3.0,1970.0,54.5285411,18.5057323,2.33,10.0,0.315,0.16,0.076,0.198,0.691,1.01,0.15,condominium,,,no,no,no,no,no,2600
440a7260ff0d7f89ff0f60ecc623de0a,poznan,blockOfFlats,52.0,2.0,2.0,4.0,,52.46113476,16.92522383,5.96,5.0,0.553,0.908,0.422,0.657,0.334,4.353,0.33,condominium,brick,,no,yes,no,no,yes,1900
f35a91d9c4994b2039722ab3c62b99bb,wroclaw,,59.6,3.0,1.0,3.0,2000.0,51.0835607,17.0377505,3.07,18.0,0.325,1.053,0.442,0.275,0.027,1.069,0.156,condominium,,,no,no,no,no,no,4000
194fa5569b2f6b37d5aecbfee96902bb,warszawa,,37.12,2.0,2.0,6.0,,52.22634,21.00955,0.72,105.0,0.29,0.169,0.187,0.217,0.09,0.14,0.141,condominium,,,no,no,yes,no,no,4250
f815aac9bbc35c619716b4c9a613dc2c,warszawa,apartmentBuilding,41.9,2.0,7.0,10.0,2001.0,52.2068074,21.0019862,2.77,23.0,0.106,0.361,0.153,0.401,0.262,0.199,0.015,condominium,brick,premium,yes,yes,yes,no,no,3200
